AGENCY_AREA,ANALYSIS_ID,TAXON_LIST_ITEM_KEY,UNITS_FOUND_OR_SEQUENCE_READS
ANGLIAN - CENTRAL,682455,NBNSYS0100049690,4
ANGLIAN - CENTRAL,682455,NBNSYS0100049740,2
ANGLIAN - CENTRAL,682455,NBNSYS0100049794,1
ANGLIAN - CENTRAL,682455,NBNSYS0100049811,2
ANGLIAN - CENTRAL,682455,NBNSYS0100049819,1
ANGLIAN - CENTRAL,682455,NBNSYS0100049827,3
ANGLIAN - CENTRAL,682455,NBNSYS0100049828,6
ANGLIAN - CENTRAL,682455,NBNSYS0100049843,36
ANGLIAN - CENTRAL,682455,NBNSYS0100051134,1
ANGLIAN - CENTRAL,682455,NBNSYS0100052065,2
ANGLIAN - CENTRAL,682455,NBNSYS0100052556,1
ANGLIAN - CENTRAL,682455,NBNSYS0100053341,1
ANGLIAN - CENTRAL,682455,NBNSYS0100053515,11
ANGLIAN - CENTRAL,682455,NBNSYS0100053644,2
ANGLIAN - CENTRAL,682455,NBNSYS0100054303,1
ANGLIAN - CENTRAL,682455,NBNSYS0100054311,1
ANGLIAN - CENTRAL,682455,NBNSYS0100054306,1
ANGLIAN - CENTRAL,687494,NBNSYS0100041529,1
ANGLIAN - CENTRAL,687494,NBNSYS0100041609,4
ANGLIAN - CENTRAL,687494,NBNSYS0100041935,138
ANGLIAN - CENTRAL,687494,NBNSYS0100043875,4
ANGLIAN - CENTRAL,687494,NHMSYS0020063119,1
ANGLIAN - CENTRAL,687494,NBNSYS0100045704,1
ANGLIAN - CENTRAL,687494,NBNSYS0100046325,1
ANGLIAN - CENTRAL,687494,NBNSYS0100046492,2
ANGLIAN - CENTRAL,687494,NBNSYS0100046687,1
ANGLIAN - CENTRAL,687494,NBNSYS0100046717,1
ANGLIAN - CENTRAL,687494,NBNSYS0100046734,1
ANGLIAN - CENTRAL,687494,NBNSYS0100046740,1
ANGLIAN - CENTRAL,687494,NBNSYS0100046742,1
ANGLIAN - CENTRAL,687494,NBNSYS0100046917,2
ANGLIAN - CENTRAL,687494,NBNSYS0100046929,2
ANGLIAN - CENTRAL,687494,NBNSYS0100047784,4
ANGLIAN - CENTRAL,687494,NBNSYS0100047785,6
ANGLIAN - CENTRAL,687494,NBNSYS0100048616,19
ANGLIAN - CENTRAL,687494,NBNSYS0100049233,10
ANGLIAN - CENTRAL,687494,NBNSYS0100049293,10
ANGLIAN - CENTRAL,687494,NBNSYS0100049331,6
ANGLIAN - CENTRAL,687494,NBNSYS0100049354,14
ANGLIAN - CENTRAL,687494,NBNSYS0100049404,2
ANGLIAN - CENTRAL,687494,NBNSYS0100049481,8
ANGLIAN - CENTRAL,687494,NBNSYS0100049690,1
ANGLIAN - CENTRAL,687494,NBNSYS0100049698,3
ANGLIAN - CENTRAL,687494,NBNSYS0100049705,1
